rank,university_name,country
1,Harvard University,United States
2,Stanford University,United States
3,Massachusetts Institute of Technology,United States
4,University of Cambridge,United Kingdom
5,University of California, Berkeley,United States
6,University of Oxford,United Kingdom
7,Princeton University,United States
8,Columbia University,United States
9,California Institute of Technology,United States
10,University of Chicago,United States
11,Yale University,United States
12,Cornell University,United States
13,Paris-Saclay University,France
14,University College London,United Kingdom
14,University of Pennsylvania,United States
16,University of California, Los Angeles,United States
17,University of Washington,United States
18,Tsinghua University,China
19,Johns Hopkins University,United States
20,University of California, San Diego,United States
21,University of California, San Francisco,United States
22,ETH Zurich,Switzerland
23,Peking University,China
24,Zhejiang University,China
25,University of Toronto,Canada
26,Imperial College London,United Kingdom
26,Washington University in St Louis,United States
28,New York University,United States
29,Rockefeller University,United States
30,Shanghai Jiao Tong University,China
31,Northwestern University,United States
31,The University of Tokyo,Japan
33,University of Michigan, Ann Arbor,United States
34,PSL University,France
35,University of Copenhagen,Country_DK
36,University of Wisconsin, Madison,United States
37,The University of Edinburgh,United Kingdom
38,The University of Melbourne,Australia
39,University of North Carolina at Chapel Hill,United States
40,University of Science and Technology of China,China
41,Fudan University,China
42,University of Munich,Germany
43,Sorbonne University,France
44,Swiss Federal Institute of Technology Lausanne,Switzerland
45,Technical University of Munich,Germany
46,Duke University,United States
46,Kyoto University,Japan
46,The University of Manchester,United Kingdom
49,The University of Texas at Austin,United States
50,Karolinska Institute,Country_SE
51,Heidelberg University,Germany
51,University of Minnesota, Twin Cities,United States
53,University of British Columbia,Canada
53,University of Illinois Urbana, Champaign,United States
55,University of Maryland, College Park,United States
56,National University of Singapore,Country_SG
56,Utrecht University,Netherlands
58,University of Geneva,Switzerland
58,University of Texas Southwestern Medical Center,United States
60,Université Paris Cité,France
61,King's College London,United Kingdom
62,University of Colorado Boulder,United States
62,Vanderbilt University,United States
64,University of Zurich,Switzerland
65,Sun Yat-sen University,China
65,The University of Queensland,Australia
67,The University of Hong Kong,Country_HK
68,University of Bonn,Germany
68,University of Southern California,United States
70,University of California, Santa Barbara,United States
71,Weizmann Institute of Science,Country_IL
72,University of Sydney,Australia
73,Huazhong University of Science and Technology,China
73,University of Groningen,Netherlands
75,Nanjing University,China
76,KU Leuven,Country_BE
76,McGill University,Canada
76,Monash University,Australia
79,University of California, Irvine,United States
80,The University of New South Wales,Australia
81,Seoul National University,Country_KR
81,Wuhan University,China
83,Ohio State University, Columbus,United States
83,University of Oslo,Country_NO
85,Aarhus University,Country_DK
86,The University of Texas MD Anderson Cancer Center,United States
87,Sichuan University,China
88,Nanyang Technological University,Country_SG
88,The Hebrew University of Jerusalem,Country_IL
88,University of Pittsburgh,United States
91,Ghent University,Country_BE
92,Xi'an Jiaotong University,China
93,Uppsala University,Country_SE
94,University of Basel,Switzerland
94,University of Helsinki,Country_FI
96,Central South University,China
97,Technion-Israel Institute of Technology,Country_IL
98,University of Bristol,United Kingdom
99,City University of Hong Kong,Country_HK
100,Stockholm University,Country_SE
101-753,Beihang University,China
101-642,Beijing Institute of Technology,China
101-589,Beijing Normal University,China
101-452,Boston University,United States
101-488,Brown University,United States
101-436,Carnegie Mellon University,United States
101-743,Emory University,United States
101-198,Erasmus University Rotterdam,Netherlands
101-640,Harbin Institute of Technology,China
101-221,Icahn School of Medicine at Mount Sinai,United States
101-010,Indiana University, Bloomington,United States
101-832,Institute of Science Tokyo,Japan
101-907,Jilin University,China
101-985,King Saud University,Country_SA
101-651,Leiden University,Netherlands
101-002,Lund University,Country_SE
101-459,Mayo Clinic College of Medicine and Science, Minnesota,United States
101-260,McMaster University,Canada
101-844,Moscow State University,Country_RU
101-775,Nagoya University,Japan
101-978,Northwestern Polytechnical University,China
101-952,Pennsylvania State University, University Park,United States
101-418,Purdue University, West Lafayette,United States
101-000,Radboud University Nijmegen,Netherlands
101-644,Rice University,United States
101-120,Sapienza University of Rome,Italy
101-749,Shandong University,China
101-500,Soochow University (China),China
101-291,South China University of Technology,China
101-403,Southeast University,China
101-516,Southern University of Science and Technology,China
101-629,The Australian National University,Australia
101-663,The Chinese University of Hong Kong,Country_HK
101-696,The University of Warwick,United Kingdom
101-096,The University of Western Australia,Australia
101-565,Tianjin University,China
101-508,Tongji University,China
101-389,Université libre de Bruxelles (ULB),Country_BE
101-146,University of Alberta,Canada
101-650,University of Amsterdam,Netherlands
101-461,University of California, Davis,United States
101-846,University of Freiburg,Germany
101-965,University of Glasgow,United Kingdom
101-731,University of Lausanne,Switzerland
101-928,University of Liverpool,United Kingdom
101-286,University of Nottingham,United Kingdom
101-609,University of Sao Paulo,Country_BR
101-437,University of Strasbourg,France
101-396,University of Vienna,Country_AT
101-715,Xiamen University,China
151-548,Aix Marseille University,France
151-766,Arizona State University,United States
151-978,Case Western Reserve University,United States
151-471,China Agricultural University,China
151-709,Chongqing University,China
151-533,Dalian University of Technology,China
151-827,Delft University of Technology,Netherlands
151-963,Georgia Institute of Technology,United States
151-245,Goethe University Frankfurt,Germany
151-294,Hunan University,China
151-110,Michigan State University,United States
151-654,Nankai University,China
151-531,NTNU - Norwegian University of Science and Technology,Country_NO
151-568,Peking Union Medical College,China
151-093,Rutgers, The State University of New Jersey - New Brunswick,United States
151-261,Sungkyunkwan University,Country_KR
151-877,Technical University of Denmark,Country_DK
151-217,The Hong Kong Polytechnic University,Country_HK
151-391,The London School of Economics and Political Science,United Kingdom
151-521,The University of Adelaide,Australia
151-873,The University of Calgary,Canada
151-919,The University of Sheffield,United Kingdom
151-853,Université Grenoble Alpes,France
151-399,University of Arizona,United States
151-678,University of Barcelona,Country_ES
151-788,University of Bern,Switzerland
151-162,University of Birmingham,United Kingdom
151-461,University of California, Santa Cruz,United States
151-105,University of Cologne,Germany
151-276,University of Electronic Science and Technology of China,China
151-262,University of Exeter,United Kingdom
151-507,University of Florida,United States
151-797,University of Goettingen,Germany
151-289,University of Gothenburg,Country_SE
151-100,University of Leeds,United Kingdom
151-587,University of Mainz,Germany
151-875,University of Massachusetts Chan Medical School,United States
151-533,University of Milan,Italy
151-461,University of Montpellier,France
151-742,University of Montreal,Canada
151-064,University of Muenster,Germany
151-886,University of Padua,Italy
151-958,University of Southampton,United Kingdom
151-058,University of Tuebingen,Germany
151-913,University of Utah,United States
151-821,University of Waterloo,Canada
151-025,Vrije Universiteit Amsterdam,Netherlands
151-205,Wageningen University & Research,Netherlands
151-317,Yonsei University,Country_KR
151-151,Zhengzhou University,China
201-155,Baylor College of Medicine,United States
201-806,Beijing University of Chemical Technology,China
201-806,Beijing University of Technology,China
201-757,Capital Medical University,China
201-539,Cardiff University,United Kingdom
201-595,Catholic University of Louvain,Country_BE
201-085,China University of Geosciences,China
201-039,Claude Bernard University Lyon 1,France
201-649,Curtin University,Australia
201-465,Deakin University,Australia
201-161,Dresden University of Technology,Germany
201-269,Durham University,United Kingdom
201-817,East China Normal University,China
201-570,East China University of Science and Technology,China
201-889,George Mason University,United States
201-307,Hanyang University,Country_KR
201-305,Heinrich Heine University Duesseldorf,Germany
201-482,Hokkaido University,Japan
201-013,Huazhong Agricultural University,China
201-729,Institut polytechnique de Paris,France
201-739,Keio University,Japan
201-686,Kiel University,Germany
201-769,King Abdullah University of Science and Technology,Country_SA
201-759,Korea Advanced Institute of Science and Technology,Country_KR
201-050,Korea University,Country_KR
201-619,KTH Royal Institute of Technology,Country_SE
201-688,Kyushu University,Japan
201-527,Lanzhou University,China
201-021,London School of Hygiene & Tropical Medicine,United Kingdom
201-980,Macquarie University,Australia
201-684,Medical University of Vienna,Country_AT
201-457,Nanjing Agricultural University,China
201-640,Nanjing Medical University,China
201-756,Nanjing University of Aeronautics and Astronautics,China
201-756,Nanjing University of Science & Technology,China
201-650,National Autonomous University of Mexico,Country_MX
201-542,National Taiwan University,Country_TW
201-044,Newcastle University,United Kingdom
201-301,North Carolina State University at Raleigh,United States
201-596,Northeastern University (Boston),United States
201-596,Northeastern University (Shenyang),China
201-135,Northwest A&F University,China
201-593,Oregon Health & Science University,United States
201-097,Oregon State University,United States
201-971,Osaka University,Japan
201-666,Queen Mary University of London,United Kingdom
201-834,Queen's University,Canada
201-475,Ruhr University Bochum,Germany
201-747,RWTH Aachen University,Germany
201-195,Shanghai University,China
201-607,Shenzhen University,China
201-102,Southern Medical University,China
201-350,Swinburne University of Technology,Australia
201-877,Technical University of Berlin,Germany
201-437,Tel Aviv University,Country_IL
201-094,Texas A&M University,United States
201-212,The Hong Kong University of Science and Technology,Country_HK
201-632,The University of Auckland,Country_NZ
201-116,The University of Tennessee, Knoxville,United States
201-116,The University of Texas Health Science Center at Houston,United States
201-411,Tohoku University,Japan
201-861,Trinity College Dublin,Country_IE
201-159,Tufts University,United States
201-801,University of Aberdeen,United Kingdom
201-147,University of Bergen,Country_NO
201-619,University of Bologna,Italy
201-495,University of Bordeaux,France
201-345,University of Buenos Aires,Country_AR
201-461,University of California, Riverside,United States
201-560,University of Cape Town,Country_ZA
201-435,University of Colorado at Denver,United States
201-991,University of Connecticut,United States
201-303,University of Delaware,United States
201-109,University of Erlangen-Nuremberg,Germany
201-761,University of Hamburg,Germany
201-958,University of Houston,United States
201-178,University of Innsbruck,Country_AT
201-336,University of Leipzig,Germany
201-365,University of Lisbon,Country_PT
201-879,University of Lorraine,France
201-875,University of Massachusetts, Amherst,United States
201-824,University of Missouri, Columbia,United States
201-760,University of Naples Federico II,Italy
201-462,University of Ottawa,Canada
201-282,University of Pisa,Italy
201-219,University of Porto,Country_PT
201-048,University of Rochester,United States
201-450,University of Science and Technology Beijing,China
201-374,University of Sussex,United Kingdom
201-552,University of Technology Sydney,Australia
201-018,University of the Witwatersrand,Country_ZA
201-302,University of Tsukuba,Japan
201-184,University of Turin,Italy
201-431,University of Valencia,Country_ES
201-445,University of Virginia,United States
201-290,University of Wuerzburg,Germany
201-156,University of York,United Kingdom
201-111,Vienna University of Technology,Country_AT
201-967,Virginia Polytechnic Institute and State University,United States
201-068,Wuhan University of Technology,China
301-552,Aalborg University,Country_DK
301-380,Albert Einstein College of Medicine,United States
301-034,Anhui University,China
301-099,Autonomous University of Barcelona,Country_ES
301-099,Autonomous University of Madrid,Country_ES
301-728,Ben-Gurion University of the Negev,Country_IL
301-989,Brandeis University,United States
301-230,Chalmers University of Technology,Country_SE
301-029,Charles University,Country_CZ
301-085,China University of Petroleum (East China),China
301-920,Colorado State University,United States
301-914,Complutense University of Madrid,Country_ES
301-147,Dalhousie University,Canada
301-521,Dartmouth College,United States
301-085,Ecole Normale Superieure - Lyon,France
301-339,Eindhoven University of Technology,Netherlands
301-337,Florida State University,United States
301-705,Fujian Medical University,China
301-494,Fuzhou University,China
301-136,George Washington University,United States
301-187,Griffith University,Australia
301-979,Guangdong University of Technology,China
301-589,Guangxi University,China
301-666,Guangzhou Medical University,China
301-319,Henan University,China
301-241,Jiangnan University,China
301-941,Jiangsu University,China
301-382,Jinan University,China
301-339,Karlsruhe Institute of Technology (KIT),Germany
301-506,Kunming University of Science and Technology,China
301-415,Kyung Hee University,Country_KR
301-621,La Trobe University,Australia
301-787,Lancaster University,United Kingdom
301-605,Laval University,Canada
301-896,Linkoping University,Country_SE
301-182,Maastricht University,Netherlands
301-346,Nanchang University,China
301-751,Nanjing Tech University,China
301-756,Nanjing University of Information Science & Technology,China
301-756,Nanjing University of Posts and Telecommunications,China
301-007,Ocean University of China,China
301-861,Paul Sabatier University (Toulouse 3),France
301-405,Pohang University of Science and Technology,Country_KR
301-839,Polytechnic University of Milan,Italy
301-686,Pompeu Fabra University,Country_ES
301-186,Princess Nourah bint Abdulrahman University,Country_SA
301-562,Qingdao University,China
301-426,Queen's University Belfast,United Kingdom
301-196,Queensland University of Technology,Australia
301-475,Renmin University of China,China
301-328,RMIT University,Australia
301-575,ShanghaiTech University,China
301-405,South China Agricultural University,China
301-532,Southwest Jiaotong University,China
301-183,Stony Brook University,United States
301-611,The University of Georgia,United States
301-788,Ulsan National Institute of Science and Technology,Country_KR
301-661,University College Cork,Country_IE
301-599,University College Dublin,Country_IE
301-701,University of Alabama at Birmingham,United States
301-400,University of Antwerp,Country_BE
301-648,University of Cincinnati,United States
301-474,University of Duisburg-Essen,Germany
301-915,University of Dundee,United Kingdom
301-720,University of East Anglia,United Kingdom
301-624,University of Florence,Italy
301-469,University of Genoa,Italy
301-045,University of Granada,Country_ES
301-004,University of Hawaii at Manoa,United States
301-334,University of Iowa,United States
301-157,University of Kansas,United States
301-786,University of Kentucky,United States
301-705,University of Leicester,United Kingdom
301-711,University of Macau,Country_MO
301-415,University of Manitoba,Canada
301-844,University of Marburg,Germany
301-749,University of Miami,United States
301-699,University of Milano-Bicocca,Italy
301-482,University of Nebraska, Lincoln,United States
301-608,University of Notre Dame,United States
301-869,University of Potsdam,Germany
301-359,University of Shanghai for Science and Technology,China
301-925,University of Southern Denmark,Country_DK
301-933,University of St Andrews,United Kingdom
301-967,University of Stuttgart,Germany
301-362,University of Tasmania,Australia
301-824,University of the Basque Country,Country_ES
301-062,University of Trento,Italy
301-895,University of Ulm,Germany
301-798,University of Victoria,Canada
301-961,University of Wollongong,Australia
301-086,Virginia Commonwealth University,United States
301-164,Vrije Universiteit Brussel,Country_BE
301-056,Western Sydney University,Australia
301-733,Western University,Canada
301-067,Westlake University,China
301-232,Xidian University,China
301-602,Yangzhou University,China
301-116,Yunnan University,China
301-745,Zhejiang University of Technology,China
401-797,Aalto University,Country_FI
401-478,Anhui Medical University,China
401-101,Cairo University,Country_EG
401-595,Catholic University of the Sacred Heart,Italy
401-957,China Medical University (Taichung),Country_TW
401-085,China University of Geosciences Beijing,China
401-085,China University of Mining and Technology,China
401-793,CUNY Graduate School and University Center,United States
401-459,Donghua University,China
401-231,Flinders University,Australia
401-096,Fujian Agriculture and Forestry University,China
401-535,Georgetown University,United States
401-379,Guangzhou University,China
401-829,Guizhou University,China
401-530,Hainan University,China
401-873,Hannover Medical School,Germany
401-144,Hefei University of Technology,China
401-755,Hiroshima University,Japan
401-100,Hohai University,China
401-010,Indiana University, Indianapolis,United States
401-989,Iowa State University,United States
401-656,James Cook University,Australia
401-785,King Khalid University,Country_SA
401-061,Kyungpook National University,Country_KR
401-087,Leibniz University Hannover,Germany
401-626,Louisiana State University, Baton Rouge,United States
401-526,Macau University of Science and Technology,Country_MO
401-244,Masaryk University,Country_CZ
401-684,Medical University of Graz,Country_AT
401-684,Medical University of Innsbruck,Country_AT
401-347,Nanjing Normal University,China
401-756,Nanjing University of Chinese Medicine,China
401-593,National Cheng Kung University,Country_TW
401-015,National Tsing Hua University,Country_TW
401-794,National University of Defense Technology,China
401-494,National Yang Ming Chiao Tung University,Country_TW
401-790,Ningbo University,China
401-908,Northwest University,China
401-591,Okinawa Institute of Science and Technology Graduate University,Japan
401-031,Osaka Metropolitan University,Japan
401-839,Polytechnic University of Valencia,Country_ES
401-205,Pusan National University,Country_KR
401-576,Saarland University,Germany
401-106,Sao Paulo State University,Country_BR
401-324,Sejong University,Country_KR
401-701,Simon Fraser University,Canada
401-829,South China Normal University,China
401-099,Southwest University,China
401-904,St Petersburg University,Country_RU
401-311,Stellenbosch University,Country_ZA
401-864,Swedish University of Agricultural Sciences,Country_SE
401-877,Technical University Darmstadt,Germany
401-240,Tehran University of Medical Sciences,Country_IR
401-782,Temple University,United States
401-663,The Chinese University of Hong Kong, Shenzhen,China
401-084,The University of Newcastle, Australia,Australia
401-983,The University of Reading,United Kingdom
401-116,The University of Texas at Dallas,United States
401-095,Toulouse Capitole University,France
401-024,Umea University,Country_SE
401-802,University of Aveiro,Country_PT
401-932,University of Bari,Italy
401-536,University of Bath,United Kingdom
401-697,University of Bayreuth,Germany
401-945,University of Belgrade,Country_RS
401-039,University of Campinas,Country_BR
401-795,University of Canterbury,Country_NZ
401-105,University of Central Florida,United States
401-898,University of Côte d'Azur,France
401-146,University of Essex,United Kingdom
401-283,University of Illinois Chicago,United States
401-356,University of Jena,Germany
401-257,University of Kent,United Kingdom
401-165,University of Konstanz,Germany
401-080,University of Liege,Country_BE
401-606,University of Lille,France
401-137,University of Maryland, Baltimore,United States
401-632,University of Oklahoma, Norman,United States
401-004,University of Otago,Country_NZ
401-902,University of Oulu,Country_FI
401-319,University of Pavia,Italy
401-529,University of Regensburg,Germany
401-531,University of Rennes,France
401-994,University of Rome Tor Vergata,Italy
401-641,University of Saskatchewan,Canada
401-248,University of Seville,Country_ES
401-574,University of South Australia,Australia
401-574,University of South Carolina, Columbia,United States
401-574,University of South Florida,United States
401-502,University of Surrey,United Kingdom
401-562,University of Szeged,Country_HU
401-453,University of Tehran,Country_IR
401-357,University of Turku,Country_FI
401-962,University of Vermont,United States
401-711,University of Verona,Italy
401-702,University of Warsaw,Country_PL
401-238,Victoria University of Wellington,Country_NZ
401-096,Vita-Salute San Raffaele University,Italy
401-114,Washington State University,United States
401-469,Wenzhou Medical University,China
501-207,Alexandria University,Country_EG
501-588,Aristotle University of Thessaloniki,Country_GR
501-810,Auburn University,United States
501-359,Bangor University,United Kingdom
501-595,Bar-Ilan University,Country_IL
501-478,Beijing Jiaotong University,China
501-956,Boston College,United States
501-277,Carleton University,Canada
501-033,Central China Normal University,China
